title,author,year,cover_id,isbn13,pages,format
Dune,Frank Herbert,1965,10471915,9780441013593,704,paperback
Dune Messiah,Frank Herbert,1969,8231927,9780593098233,352,paperback
Children of Dune,Frank Herbert,1976,8231825,9780593098240,444,paperback
Piranesi,Susanna Clarke,2020,10395262,9781635575637,272,hardcover
Jonathan Strange & Mr Norrell,Susanna Clarke,2004,1116762,9780765356154,1006,paperback
The Left Hand of Darkness,Ursula K. Le Guin,1969,8231989,9780441478125,304,paperback
A Wizard of Earthsea,Ursula K. Le Guin,1968,10521270,9780547773742,183,paperback
The Dispossessed,Ursula K. Le Guin,1974,10521302,9780061054884,387,paperback
The Fifth Season,N. K. Jemisin,2015,8291049,9780316229296,468,paperback
The Obelisk Gate,N. K. Jemisin,2016,8291050,9780316229265,448,paperback
The Stone Sky,N. K. Jemisin,2017,8291051,9780316229241,464,paperback
Beloved,Toni Morrison,1987,8778147,9781400033416,324,paperback
Song of Solomon,Toni Morrison,1977,8778148,9781400033423,337,paperback
The Bluest Eye,Toni Morrison,1970,8778149,9780307278449,216,paperback
Never Let Me Go,Kazuo Ishiguro,2005,8231990,9781400078776,288,paperback
The Remains of the Day,Kazuo Ishiguro,1989,8231991,9780679731726,245,paperback
Klara and the Sun,Kazuo Ishiguro,2021,10583153,9780571364886,320,hardcover
Norwegian Wood,Haruki Murakami,1987,8231992,9780375704024,296,paperback
Kafka on the Shore,Haruki Murakami,2002,8231993,9781400079278,505,paperback
The Wind-Up Bird Chronicle,Haruki Murakami,1994,8231994,9780679775430,607,paperback
One Hundred Years of Solitude,Gabriel Garcia Marquez,1967,8231995,9780060883287,417,paperback
Love in the Time of Cholera,Gabriel Garcia Marquez,1985,8231996,9780307389732,368,paperback
Babel,R. F. Kuang,2022,12645114,9780063021426,560,hardcover
Yellowface,R. F. Kuang,2023,13172292,9780063250833,336,hardcover
The Poppy War,R. F. Kuang,2018,9257946,9780062662583,544,paperback
Circe,Madeline Miller,2018,8739161,9780316556347,393,paperback
The Song of Achilles,Madeline Miller,2011,8739162,9780062060624,378,paperback
Normal People,Sally Rooney,2018,9257947,9781984822178,273,paperback
Conversations with Friends,Sally Rooney,2017,9257948,9780451499059,321,paperback
Beautiful World Where Are You,Sally Rooney,2021,11153224,9780374602604,356,hardcover
A Little Life,Hanya Yanagihara,2015,8231997,9780804172707,720,paperback
The Secret History,Donna Tartt,1992,8231998,9781400031702,559,paperback
The Goldfinch,Donna Tartt,2013,8231999,9780316055437,771,paperback
Cloud Atlas,David Mitchell,2004,8232000,9780375507250,509,paperback
The Road,Cormac McCarthy,2006,8232001,9780307387899,287,paperback
Blood Meridian,Cormac McCarthy,1985,8232002,9780679728757,337,paperback
Nineteen Eighty-Four,George Orwell,1949,7222246,9780451524935,328,paperback
Animal Farm,George Orwell,1945,8232003,9780452284241,112,paperback
Brave New World,Aldous Huxley,1932,8232004,9780060850524,268,paperback
Fahrenheit 451,Ray Bradbury,1953,8232005,9781451673319,194,paperback
The Handmaid's Tale,Margaret Atwood,1985,8232006,9780385490818,311,paperback
Oryx and Crake,Margaret Atwood,2003,8232007,9780385721677,376,paperback
Slaughterhouse-Five,Kurt Vonnegut,1969,8232008,9780385333849,275,paperback
Cat's Cradle,Kurt Vonnegut,1963,8232009,9780385333481,287,paperback
Catch-22,Joseph Heller,1961,8232010,9781451626650,453,paperback
